Time resolution is 1 ps
Time: 0 | x_in = xxxxxxxxxxxxxxxx | y_out = xxxxxxxxxxxxxxxx
Time: 6360618000 | x_in = 1111111000011101 | y_out = 0001000001000101
Time: 6383294000 | x_in = 0000000100100111 | y_out = 0000110001010111
Time: 6405970000 | x_in = 0000010000110000 | y_out = 0000100001011001
Time: 6428646000 | x_in = 0000011100110011 | y_out = 0000010001010000
Time: 6451322000 | x_in = 0000101000101011 | y_out = 0000000001000010
Time: 6473998000 | x_in = 0000110100010011 | y_out = 1111110000110011
Time: 6496674000 | x_in = 0000111111100110 | y_out = 1111100000101001
Time: 6519350000 | x_in = 0001001010100001 | y_out = 1111010000101010
Time: 6542026000 | x_in = 0001010100111111 | y_out = 1111000000111001
Time: 6564702000 | x_in = 0001011110111100 | y_out = 1110110001011101
Time: 6587378000 | x_in = 0001101000010100 | y_out = 1110100010011010
Time: 6610054000 | x_in = 0001110001000011 | y_out = 1110010011110110
Time: 6632730000 | x_in = 0001111001000110 | y_out = 1110000101110100
Time: 6655406000 | x_in = 0010000000011011 | y_out = 1101111000011010
Time: 6678082000 | x_in = 0010000110111101 | y_out = 1101101011101100
Time: 6700758000 | x_in = 0010001100101011 | y_out = 1101011111101110
Time: 6723434000 | x_in = 0010010001100011 | y_out = 1101010100100100
Time: 6746110000 | x_in = 0010010101100010 | y_out = 1101001010010001
Time: 6768786000 | x_in = 0010011000100110 | y_out = 1101000000111001
Time: 6791462000 | x_in = 0010011010110000 | y_out = 1100111000011110
Time: 6814138000 | x_in = 0010011011111101 | y_out = 1100110001000101
Time: 6836814000 | x_in = 0010011100001110 | y_out = 1100101010110000
Time: 6859490000 | x_in = 0010011011100010 | y_out = 1100100101100111
Time: 6882166000 | x_in = 0010011001111010 | y_out = 1100100001110001
Time: 6904842000 | x_in = 0010010111010101 | y_out = 1100011111011100
Time: 6927518000 | x_in = 0010010011110110 | y_out = 1100011110110101
Time: 6950194000 | x_in = 0010001111011110 | y_out = 1100100000001000
Time: 6972870000 | x_in = 0010001010001110 | y_out = 1100100011011110
Time: 6995546000 | x_in = 0010000100001000 | y_out = 1100101000110100
Time: 7018222000 | x_in = 0001111101001111 | y_out = 1100101111111000
Time: 7040898000 | x_in = 0001110101100101 | y_out = 1100111000001011
Time: 7063574000 | x_in = 0001101101001101 | y_out = 1101000000111100
Time: 7086250000 | x_in = 0001100100001011 | y_out = 1101001001010100
Time: 7108926000 | x_in = 0001011010100010 | y_out = 1101010000011110
Time: 7131602000 | x_in = 0001010000010110 | y_out = 1101010101110110
Time: 7154278000 | x_in = 0001000101101011 | y_out = 1101011001010001
Time: 7176954000 | x_in = 0000111010100101 | y_out = 1101011011000101
Time: 7199630000 | x_in = 0000101111000111 | y_out = 1101011100001010
Time: 7222306000 | x_in = 0000100011011000 | y_out = 1101011101101101
Time: 7244982000 | x_in = 0000010111011011 | y_out = 1101100001000001
Time: 7267658000 | x_in = 0000001011010100 | y_out = 1101100111001010
Time: 7290334000 | x_in = 1111111111001011 | y_out = 1101110000101011
Time: 7313010000 | x_in = 1111110011000000 | y_out = 1101111101011010
Time: 7335686000 | x_in = 1111100110111011 | y_out = 1110001100100100
Time: 7358362000 | x_in = 1111011010111111 | y_out = 1110011100111010
Time: 7381038000 | x_in = 1111001111010010 | y_out = 1110101101000110
Time: 7403714000 | x_in = 1111000011111000 | y_out = 1110111100000111
Time: 7426390000 | x_in = 1110111000110101 | y_out = 1111001001100010
Time: 7449066000 | x_in = 1110101110001110 | y_out = 1111010101101011
Time: 7471742000 | x_in = 1110100100000110 | y_out = 1111100001011101
Time: 7494418000 | x_in = 1110011010100010 | y_out = 1111101110000111
Time: 7517094000 | x_in = 1110010001100110 | y_out = 1111111100101011
Time: 7539770000 | x_in = 1110001001010101 | y_out = 0000001101101001
Time: 7562446000 | x_in = 1110000001110001 | y_out = 0000100000101011
Time: 7585122000 | x_in = 1101111010111111 | y_out = 0000110100101110
Time: 7607798000 | x_in = 1101110101000000 | y_out = 0001001000010000
Time: 7630474000 | x_in = 1101101111111000 | y_out = 0001011001110110
Time: 7653150000 | x_in = 1101101011100111 | y_out = 0001101000100110
Time: 7675826000 | x_in = 1101101000010000 | y_out = 0001110100100101
Time: 7698502000 | x_in = 1101100101110100 | y_out = 0001111110110101
Time: 7721178000 | x_in = 1101100100010100 | y_out = 0010001001000000
Time: 7743854000 | x_in = 1101100011110001 | y_out = 0010010100110111
Time: 7766530000 | x_in = 1101100100001010 | y_out = 0010100011100011
Time: 7789206000 | x_in = 1101100101100000 | y_out = 0010110100111100
Time: 7811882000 | x_in = 1101100111110001 | y_out = 0011000111100101
Time: 7834558000 | x_in = 1101101010111110 | y_out = 0011011000101111
Time: 7857234000 | x_in = 1101101111000101 | y_out = 0011100101001001
Time: 7879910000 | x_in = 1101110100000100 | y_out = 0011101001111011
Time: 7902586000 | x_in = 1101111001111001 | y_out = 0011100101011010
Time: 7925262000 | x_in = 1110000000100011 | y_out = 0011010111110110
Time: 7947938000 | x_in = 1110000111111110 | y_out = 0011000011100000
Time: 7970614000 | x_in = 1110010000001000 | y_out = 0010101100010010
Time: 7993290000 | x_in = 1110011000111101 | y_out = 0010010110110011
Time: 8015966000 | x_in = 1110100010011010 | y_out = 0010000111010111
Time: 8038642000 | x_in = 1110101100011100 | y_out = 0010000000110110
Time: 8061318000 | x_in = 1110110110111110 | y_out = 0010000100001100
Time: 8083994000 | x_in = 1111000001111100 | y_out = 0010010000001011
Time: 8106670000 | x_in = 1111001101010011 | y_out = 0010100001111001
Time: 8129346000 | x_in = 1111011000111101 | y_out = 0010110101101010
Time: 8152022000 | x_in = 1111100100110111 | y_out = 0011000111111010
Time: 8174698000 | x_in = 1111110000111011 | y_out = 0011010110001010
Time: 8197374000 | x_in = 1111111101000100 | y_out = 0011011111011000
Time: 8220050000 | x_in = 0000001001001110 | y_out = 0011100100000100
Time: 8242726000 | x_in = 0000010101010110 | y_out = 0011100101110100
Time: 8265402000 | x_in = 0000100001010101 | y_out = 0011100110100100
Time: 8288078000 | x_in = 0000101101000111 | y_out = 0011100111111011
Time: 8310754000 | x_in = 0000111000101000 | y_out = 0011101010101011
Time: 8333430000 | x_in = 0001000011110010 | y_out = 0011101110100010
Time: 8356106000 | x_in = 0001001110100011 | y_out = 0011110010011001
Time: 8378782000 | x_in = 0001011000110100 | y_out = 0011110100110001
Time: 8401458000 | x_in = 0001100010100100 | y_out = 0011110100010011
Time: 8424134000 | x_in = 0001101011101101 | y_out = 0011110000010100
Time: 8446810000 | x_in = 0001110100001100 | y_out = 0011101000111100
Time: 8469486000 | x_in = 0001111011111110 | y_out = 0011011111000010
Time: 8492162000 | x_in = 0010000011000000 | y_out = 0011010011111100
Time: 8514838000 | x_in = 0010001001001110 | y_out = 0011001000111010
Time: 8537514000 | x_in = 0010001110101000 | y_out = 0010111110110010
Time: 8560190000 | x_in = 0010010011001010 | y_out = 0010110101101101
Time: 8582866000 | x_in = 0010010110110011 | y_out = 0010101101000110
Time: 8605542000 | x_in = 0010011001100010 | y_out = 0010100011111001
Time: 8628218000 | x_in = 0010011011010100 | y_out = 0010011000111011
Time: 8650894000 | x_in = 0010011100001011 | y_out = 0010001011010001
Time: 8673570000 | x_in = 0010011100000100 | y_out = 0001111010100101
Time: 8696246000 | x_in = 0010011011000010 | y_out = 0001100111010000
Time: 8718922000 | x_in = 0010011001000010 | y_out = 0001010010001111
Time: 8741598000 | x_in = 0010010110001000 | y_out = 0000111100111000
Time: 8764274000 | x_in = 0010010010010011 | y_out = 0000101000100011
Time: 8786950000 | x_in = 0010001101100101 | y_out = 0000010110011000
Time: 8809626000 | x_in = 0010001000000000 | y_out = 0000000110111100
Time: 8832302000 | x_in = 0010000001100110 | y_out = 1111111010010011
